type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,2800953,Jeong-Ki  Hong and Bon-Chang  Koo and So-Ryang  Ban and Jun-Dong  Cho and Andrea  Bianchi,,,,BeuPo: A Digital Plant That You Can Raise and Customize with Your Current Posture,1015--1020,,6,"digital planting, fostering system, gamified application, posture tracking, quantified self",10.1145/2800835.2800953,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA"
article,3226218,Cataldo  Musto and Giovanni  Semeraro and Cosimo  Lovascio and Marco  de Gemmis and Pasquale  Lops,,,,A Framework for Holistic User Modeling Merging Heterogeneous Digital Footprints,97--101,,5,"content analytics, personal informatics, personalization, quantified self, user modeling",10.1145/3213586.3226218,,,,,,,2018,,"Adjunct Publication of the 26th Conference on User Modeling, Adaptation and Personalization",UMAP '18,,978-1-4503-5784-5,"Singapore, Singapore",ACM,"New York, NY, USA"
article,2806252,Tian  Gan and Yongkang  Wong and Bappaditya  Mandal and Vijay  Chandrasekhar and Mohan S. Kankanhalli,,,,Multi-sensor Self-Quantification of Presentations,601--610,,10,"ego-centric vision, multi-modal analysis, presentations, quantified self",10.1145/2733373.2806252,,,,,,,2015,,Proceedings of the 23rd ACM International Conference on Multimedia,MM '15,,978-1-4503-3459-4,"Brisbane, Australia",ACM,"New York, NY, USA"
article,3125505,Marvin  Andujar and Juan E. Gilbert,,,,A User-centered Approach Towards Attention Visualization for Learning Activities,871--876,,6,"attention, brain-computer interfaces, data visualization, quantified-self",10.1145/3123024.3125505,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,2602778,Chris  Elsden and David S. Kirk,,,,A Quantified Past: Remembering with Personal Informatics,45--48,,4,"experience-centred design, personal informatics, quantified self, remembering, time",10.1145/2598784.2602778,,,,,,,2014,,Proceedings of the 2014 Companion Publication on Designing Interactive Systems,DIS Companion '14,,978-1-4503-2903-3,"Vancouver, BC, Canada",ACM,"New York, NY, USA"
article,3173654,Amon  Rapp,,,,Gamification for Self-Tracking: From World of Warcraft to the Design of Personal Informatics Systems,80:1--80:15,80,15,"gamification, personal informatics, quantified self, self-tracking, world of warcraft",10.1145/3173574.3173654,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2883958,Danielle  Hagood and Cynthia Carter Ching and Sara  Schaefer,,,,Integrating Physical Activity Data in Videogames with User-centered Dashboards,530--531,,2,"activity monitors (Fitbit), dashboards, health, quantified self, sociocultural theory",10.1145/2883851.2883958,,,,,,,2016,,Proceedings of the Sixth International Conference on Learning Analytics & Knowledge,LAK '16,,978-1-4503-4190-5,"Edinburgh, United Kingdom",ACM,"New York, NY, USA"
article,2892575,Nina  Runge and Johannes  Sch&#246;ning and Rainer  Malaka and Alberto  Frigo,,,,You Can Touch This: Eleven Years and 258218 Images of Objects,541--552,,12,"life logging, quantified self, tangible interaction, touch interaction",10.1145/2851581.2892575,,,,,,,2016,,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '16,,978-1-4503-4082-3,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2826204,Bliss  Altenhoff and Haley  Vaigneur and Kelly  Caine,,,,"One Step Forward, Two Steps Back: The Key to Wearables in the Field is the App",241--244,,4,"mobile app design, preventive healthcare, quantified self, wearable computing",,,,,,,,2015,,Proceedings of the 9th International Conference on Pervasive Computing Technologies for Healthcare,PervasiveHealth '15,,978-1-63190-045-7,"Istanbul, Turkey","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
article,3122147,Miriam  Greis and Tilman  Dingler and Albrecht  Schmidt and Chris  Schmandt,,,,Leveraging User-made Predictions to Help Understand Personal Behavior Patterns,104:1--104:8,104,8,"personal behavior patterns, quantified self, reflection, user-made predictions",10.1145/3098279.3122147,,,,,,,2017,,Proceedings of the 19th International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI '17,,978-1-4503-5075-4,"Vienna, Austria",ACM,"New York, NY, USA"
